unit	active_state	active_enter_timestamp	n_restarts	exec_main_status
ai-bot-v2-agent-supervisor.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-claude-worker@1.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-claude-worker@2.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-claude-worker@3.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-codex-worker@1.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-codex-worker@2.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-closed-loop-codex-worker@3.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-codex-shutdown-readiness-takeover.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-codex-watchdog.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-continuous-legacy-log-remediation.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-feature-pipeline-native-loop.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-feature-snapshot-builder.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-legacy-log-intelligence-observer.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-legacy-v2-production-comparator.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-liquidation-bridge.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-liquidation-levels-engine.service	active	Fri 2026-05-29 13:59:55 EDT	0	0
ai-bot-v2-liquidation-wss-paper-shadow.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-native-ingestors-live-loop.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-orchestrator-arbitration-loop.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-paper-online-runtime.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-paper-shadow-observation.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-parallel-scheduler.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-parallel-spark-automation.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-position-history-persistent-tracker.service	active	Fri 2026-05-29 17:24:50 EDT	20	0
ai-bot-v2-production-replacement-runtime-guard.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-public-website-backend.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-readonly-decision-observatory.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-rl-core-inference-loop.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-symbol-universe-publisher.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-trade-management-paper-loop.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-trainer-bridge.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
ai-bot-v2-worker-porting-orchestrator.service	active	Fri 2026-05-29 13:59:45 EDT	0	0
